0.000000000000000000e+00 1.013000000000000000e+03 2.855000000000000000e+19 2.571999999999999886e+02 1.405000000000000000e+03 3.300000000000000000e+02 1.802000000000000129e-02 3.200000000000000067e-01 1.499999999999999944e-01 1.699999999999999956e+00 2.090000000000000000e+05
1.000000000000000000e+00 8.877999999999999545e+02 2.484000000000000000e+19 2.591000000000000227e+02 1.615000000000000000e+03 3.300000000000000000e+02 2.071999999999999884e-02 3.200000000000000067e-01 1.449999999999999900e-01 1.699999999999999956e+00 2.090000000000000000e+05
2.000000000000000000e+00 7.775000000000000000e+02 2.202000000000000000e+19 2.559000000000000057e+02 1.427000000000000000e+03 3.300000000000000000e+02 2.335999999999999882e-02 3.200000000000000067e-01 1.398999999999999966e-01 1.699999999999999956e+00 2.090000000000000000e+05
3.000000000000000000e+00 6.797999999999999545e+02 1.950000000000000000e+19 2.526999999999999886e+02 1.166000000000000000e+03 3.300000000000000000e+02 2.767000000000000015e-02 3.200000000000000067e-01 1.348999999999999921e-01 1.699999999999999956e+00 2.090000000000000000e+05
4.000000000000000000e+00 5.932000000000000455e+02 1.736000000000000000e+19 2.476999999999999886e+02 7.897999999999999545e+02 3.300000000000000000e+02 3.253000000000000336e-02 3.200000000000000067e-01 1.312000000000000111e-01 1.697000000000000064e+00 2.090000000000000000e+05
5.000000000000000000e+00 5.157999999999999545e+02 1.552000000000000000e+19 2.409000000000000057e+02 4.308999999999999773e+02 3.300000000000000000e+02 3.801000000000000212e-02 3.200000000000000067e-01 1.302999999999999992e-01 1.687000000000000055e+00 2.090000000000000000e+05
6.000000000000000000e+00 4.466999999999999886e+02 1.383000000000000000e+19 2.340999999999999943e+02 2.369000000000000057e+02 3.300000000000000000e+02 4.445999999999999952e-02 3.200000000000000067e-01 1.287999999999999978e-01 1.671999999999999931e+00 2.090000000000000000e+05
7.000000000000000000e+00 3.853000000000000114e+02 1.229000000000000000e+19 2.273000000000000114e+02 1.470000000000000000e+02 3.300000000000000000e+02 7.252000000000000113e-02 3.200000000000000067e-01 1.247000000000000053e-01 1.649000000000000021e+00 2.090000000000000000e+05
8.000000000000000000e+00 3.308000000000000114e+02 1.087000000000000000e+19 2.205999999999999943e+02 3.384000000000000341e+01 3.300000000000000000e+02 1.039999999999999952e-01 3.195000000000000062e-01 1.184999999999999942e-01 1.629000000000000004e+00 2.090000000000000000e+05
9.000000000000000000e+00 2.828999999999999773e+02 9.440000000000000000e+18 2.171999999999999886e+02 2.976000000000000156e+01 3.300000000000000000e+02 2.099999999999999922e-01 3.163000000000000256e-01 1.093999999999999972e-01 1.614999999999999991e+00 2.090000000000000000e+05
1.000000000000000000e+01 2.418000000000000114e+02 8.069000000000000000e+18 2.171999999999999886e+02 2.000000000000000000e+01 3.300000000000000000e+02 2.999999999999999889e-01 3.095999999999999863e-01 9.962000000000000022e-02 1.578999999999999959e+00 2.090000000000000000e+05
1.100000000000000000e+01 2.066999999999999886e+02 6.898000000000000000e+18 2.171999999999999886e+02 1.000000000000000000e+01 3.300000000000000000e+02 3.499999999999999778e-01 2.988999999999999990e-01 8.963999999999999746e-02 1.542000000000000037e+00 2.090000000000000000e+05
1.200000000000000000e+01 1.765999999999999943e+02 5.893000000000000000e+18 2.171999999999999886e+02 6.000000000000000000e+00 3.300000000000000000e+02 4.000000000000000222e-01 2.936000000000000276e-01 7.814000000000000112e-02 1.506000000000000005e+00 2.090000000000000000e+05
1.300000000000000000e+01 1.510000000000000000e+02 5.039000000000000000e+18 2.171999999999999886e+02 4.450000000000000178e+00 3.300000000000000000e+02 6.500000000000000222e-01 2.859999999999999765e-01 6.374000000000000499e-02 1.471000000000000085e+00 2.090000000000000000e+05
1.400000000000000000e+01 1.290999999999999943e+02 4.308000000000000000e+18 2.171999999999999886e+02 4.500000000000000000e+00 3.300000000000000000e+02 9.000000000000000222e-01 2.800000000000000266e-01 5.025000000000000300e-02 1.433999999999999941e+00 2.090000000000000000e+05
1.500000000000000000e+01 1.102999999999999972e+02 3.681000000000000000e+18 2.171999999999999886e+02 4.549999999999999822e+00 3.300000000000000000e+02 1.199999999999999956e+00 2.723999999999999755e-01 3.941000000000000059e-02 1.389000000000000012e+00 2.090000000000000000e+05
1.600000000000000000e+01 9.431000000000000227e+01 3.156000000000000000e+18 2.165999999999999943e+02 4.599999999999999645e+00 3.300000000000000000e+02 1.500000000000000000e+00 2.610999999999999988e-01 3.068999999999999853e-02 1.342000000000000082e+00 2.090000000000000000e+05
1.700000000000000000e+01 8.057999999999999829e+01 2.704000000000000000e+18 2.160000000000000000e+02 4.650000000000000355e+00 3.300000000000000000e+02 1.899999999999999911e+00 2.421000000000000096e-01 2.488999999999999893e-02 1.290000000000000036e+00 2.090000000000000000e+05
1.800000000000000000e+01 6.881999999999999318e+01 2.316000000000000000e+18 2.154000000000000057e+02 4.700000000000000178e+00 3.300000000000000000e+02 2.450000000000000178e+00 2.174000000000000099e-01 1.966000000000000039e-02 1.229999999999999982e+00 2.090000000000000000e+05
1.900000000000000000e+01 5.875000000000000000e+01 1.982000000000000000e+18 2.148000000000000114e+02 4.750000000000000000e+00 3.300000000000000000e+02 3.100000000000000089e+00 1.842999999999999916e-01 1.549000000000000030e-02 1.161000000000000032e+00 2.090000000000000000e+05
2.000000000000000000e+01 5.014000000000000057e+01 1.697000000000000000e+18 2.141999999999999886e+02 4.799999999999999822e+00 3.300000000000000000e+02 3.700000000000000178e+00 1.620999999999999941e-01 1.331000000000000065e-02 1.084000000000000075e+00 2.090000000000000000e+05
